"","time.list"
"1",15
"2",15
"3",14.9585829377018
"4",14.8346776963719
"5",14.1869613284704
"6",13.578372429205
"7",13.3285579999905
"8",13.0404521973684
"9",12.9961412952429
"10",12.9740377512752
"11",12.7609607756905
"12",12.4975822003921
"13",10.5152274190219
"14",9.96910375780826
"15",9.92194563275112
"16",9.4483474513116
"17",9.13230179486252
"18",9.01538790149834
"19",8.78497082872671
"20",8.73558608606384
"21",8.67924171843965
"22",8.16828413217358
"23",8.12056623914309
"24",8.0606995962189
"25",7.95891924112583
"26",7.83838036728277
"27",6.4991079832709
"28",6.3894061442022
"29",6.24957052630561
"30",5.95467434018933
"31",5.78934218713609
"32",5.62382551123499
"33",5.57606301069887
"34",4.71139403125067
"35",4.60680645016262
"36",4.41497031239842
"37",3.08372114834897
"38",2.29626210003233
"39",2.2083124500845
"40",2.15479276288566
"41",1.36058163267648
"42",0.986299584423179
"43",0.921255644426841
"44",0.798756652813278
"45",0.118927428697599
"46",0
