"","time.list"
"1",15
"2",15
"3",14.9811446803491
"4",13.6173228166528
"5",13.5941652121607
"6",13.0333116477474
"7",12.1600493247174
"8",12.0851124753862
"9",11.9788190956539
"10",11.2325340610802
"11",10.210669177475
"12",9.42154989729178
"13",9.42009374337862
"14",9.07652871524144
"15",9.04476081831416
"16",8.91507966912247
"17",8.49124565922278
"18",8.37287672012275
"19",8.21329560238779
"20",7.17362420646657
"21",6.82860689271432
"22",5.80498064829051
"23",5.75036269897197
"24",5.55074144033892
"25",5.2683014283011
"26",5.14878948390028
"27",5.14567479636282
"28",5.11106749250182
"29",4.82892856113093
"30",4.35896255987848
"31",3.83291637012979
"32",3.50641037997505
"33",3.31058138685653
"34",2.64028021912885
"35",2.48561402954917
"36",1.552386007101
"37",1.37080925697933
"38",1.34022750735458
"39",1.0487150537137
"40",0.683582418027346
"41",0.468872120786395
"42",0.1252451625395
"43",0.0190171227600704
"44",0
