"","V1","V2","V3","V4","V5"
"1",15,0,-1,3.83291637012979,1
"2",15,-1,2,1.0487150537137,1
"3",14.9811446803491,2,3,9.42154989729178,1
"4",13.6173228166528,2,4,13.5941652121607,1
"5",13.0333116477474,-1,-5,-1,1
"6",12.1600493247174,2,6,12.0851124753862,1
"7",11.9788190956539,2,7,5.80498064829051,1
"8",11.2325340610802,7,8,8.91507966912247,1
"9",10.210669177475,-5,-9,8.49124565922278,1
"10",9.42009374337862,-1,-10,5.2683014283011,1
"11",9.07652871524144,-10,-11,8.21329560238779,1
"12",9.04476081831416,7,12,7.17362420646657,1
"13",8.37287672012275,12,13,5.55074144033892,1
"14",6.82860689271432,2,14,5.75036269897197,1
"15",5.14878948390028,-1,-15,4.82892856113093,1
"16",5.14567479636282,-1,-16,0.1252451625395,1
"17",5.11106749250182,-1,-17,3.50641037997505,1
"18",4.35896255987848,-17,-18,-1,1
"19",3.31058138685653,2,19,-1,1
"20",2.64028021912885,19,20,1.34022750735458,1
"21",2.48561402954917,-18,-21,0.468872120786395,1
"22",1.552386007101,-16,-22,0.0190171227600704,1
"23",1.37080925697933,-5,-23,-1,1
"24",0.683582418027346,-21,-24,-1,1
