"","time.list"
"1",15
"2",15
"3",13.7575255258707
"4",13.3803213830173
"5",12.6570213948366
"6",12.0232585375922
"7",11.6834884500315
"8",11.5663873592357
"9",11.4939062109998
"10",10.9039249699873
"11",9.91242726169853
"12",8.96944778417793
"13",8.67068951979223
"14",7.20215017290131
"15",6.68561212538606
"16",6.57156211451925
"17",6.32370748875337
"18",5.95265177581463
"19",5.46778010332889
"20",5.46027517264602
"21",5.39521940289282
"22",4.93211505582002
"23",4.77306535459124
"24",3.90952228236089
"25",3.72846054862072
"26",3.71925758076256
"27",3.56326435189806
"28",3.3983012108162
"29",3.26659817714379
"30",3.22684772045599
"31",3.21869916814042
"32",3.20857483583804
"33",3.18513978472711
"34",2.93705123831493
"35",2.74061483904241
"36",2.65417334526039
"37",2.48308506308636
"38",2.26376086460795
"39",2.14127717850577
"40",1.75862675855216
"41",1.30003530023719
"42",1.20668533940245
"43",1.01537105449998
"44",0.998862963351163
"45",0.806712991645609
"46",0.72632781127154
"47",0.5742147724972
"48",0.410195904680585
"49",0.396896244821461
"50",0.198106154328356
"51",0.0927638614713988
"52",0.0299237128401835
"53",0
