"","V1","V2","V3","V4","V5"
"1",15,0,-1,-1,1
"2",15,-1,2,10.9039249699873,1
"3",13.7575255258707,2,3,3.18513978472711,1
"4",13.3803213830173,3,4,6.32370748875337,1
"5",12.6570213948366,2,5,6.57156211451925,1
"6",12.0232585375922,5,6,11.6834884500315,1
"7",11.5663873592357,4,7,11.4939062109998,1
"8",9.91242726169853,4,8,3.22684772045599,1
"9",8.96944778417793,8,9,3.72846054862072,1
"10",8.67068951979223,-1,-10,6.68561212538606,1
"11",7.20215017290131,-10,-11,2.48308506308636,1
"12",5.95265177581463,-11,-12,3.56326435189806,1
"13",5.46778010332889,8,13,-1,1
"14",5.46027517264602,-12,-14,2.74061483904241,1
"15",5.39521940289282,8,15,-1,1
"16",4.93211505582002,-11,-16,-1,1
"17",4.77306535459124,15,17,0.0927638614713988,1
"18",3.90952228236089,-11,-18,-1,1
"19",3.71925758076256,-1,-19,-1,1
"20",3.3983012108162,-18,-20,-1,1
"21",3.26659817714379,-18,-21,-1,1
"22",3.21869916814042,-16,-22,-1,1
"23",3.20857483583804,13,23,-1,1
"24",2.93705123831493,17,24,1.75862675855216,1
"25",2.65417334526039,23,25,-1,1
"26",2.26376086460795,-22,-26,-1,1
"27",2.14127717850577,-19,-27,0.0299237128401835,1
"28",1.30003530023719,25,28,0.198106154328356,1
"29",1.20668533940245,-26,-29,0.806712991645609,1
"30",1.01537105449998,-18,-30,-1,1
"31",0.998862963351163,-27,-31,-1,1
"32",0.72632781127154,17,32,-1,1
"33",0.5742147724972,13,33,-1,1
"34",0.410195904680585,-20,-34,-1,1
"35",0.396896244821461,32,35,-1,1
