"","V1","V2","V3","V4","V5"
"1",15,0,-1,-1,1
"2",15,-1,2,-1,1
"3",14.0237700560413,2,3,-1,1
"4",13.7199111631871,3,4,-1,1
"5",13.1217977114223,2,5,-1,1
"6",12.5830992827645,5,6,-1,1
"7",12.285800456149,6,7,-1,1
"8",12.2085210095834,5,8,-1,1
"9",12.1566310966418,8,9,-1,1
"10",11.824961748189,4,10,-1,1
"11",11.3986177336249,8,11,-1,1
"12",10.9192322336891,11,12,-1,1
"13",10.7449565794642,-1,-13,-1,1
"14",9.77977404491254,-13,-14,-1,1
"15",9.40159440298173,-13,-15,-1,1
"16",9.32796878485549,9,16,-1,1
"17",9.18855055786218,10,17,-1,1
"18",9.01015838818009,3,18,-1,1
"19",8.72731657923008,11,19,-1,1
"20",8.72210083194928,-15,-20,-1,1
"21",8.66875510075166,9,21,-1,1
"22",8.22219019464574,2,22,-1,1
"23",8.04145189779486,-20,-23,-1,1
"24",6.87620511244056,-1,-24,-1,1
"25",6.58197979511278,9,25,-1,1
"26",6.56598503697529,12,26,-1,1
"27",6.21500027203017,7,27,-1,1
"28",5.7725528349927,5,28,-1,1
"29",5.22222230143299,4,29,-1,1
"30",4.87920327432539,16,30,-1,1
