"","time.list"
"1",15
"2",15
"3",13.1405143924596
"4",12.5766525294313
"5",11.4967254637448
"6",10.5516405011873
"7",10.0455999452459
"8",9.91818580395499
"9",9.83546275433797
"10",9.32520221825677
"11",8.69358145593947
"12",8.01130995790362
"13",7.77366133850591
"14",6.51633543142718
"15",6.04727541042773
"16",5.96065703616156
"17",5.80574789505789
"18",5.61947494679547
"19",5.34353171855155
"20",5.33880964282408
"21",5.29435486682606
"22",4.95519164699878
"23",4.83160990556228
"24",4.12539973262028
"25",3.97054430244777
"26",3.96343552105333
"27",3.83695452467671
"28",3.71573604877603
"29",3.61382298700571
"30",3.58161462765289
"31",3.57556141736132
"32",3.56766484837684
"33",3.54856643049845
"34",3.36136860526206
"35",3.20613366109542
"36",3.14274323232194
"37",3.01106070032456
"38",2.85408692463681
"39",2.76189490283947
"40",2.4603103978319
"41",2.12146226474362
"42",2.04910543276134
"43",1.89412724904176
"44",1.88019651252899
"45",1.71175335551438
"46",1.64457624518158
"47",1.51230403755172
"48",1.36426345633626
"49",1.35183054781411
"50",1.15972247716952
"51",1.06140300383636
"52",1.00486614875865
"53",0.876829754186355
"54",0.848658339514678
"55",0.845318427821288
"56",0.506429358660375
"57",0.499286591041052
"58",0.358558340484491
"59",0.0861119671253654
"60",0.0590058310506176
"61",0.0253462608020651
"62",0
